name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
박석안,1972-04-20T00:00:00Z,1996,1996,1,6,15,0,2,0,0,0,0,0,0,0,1,6,0,1,0.133,4
최철민,1972-05-03T00:00:00Z,1996,1997,2,48,102,19,28,5,1,1,13,0,1,5,1,25,1,3,0.275,5
홍광천,1972-06-22T00:00:00Z,1996,1996,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
김대헌,1972-06-30T00:00:00Z,1996,1997,2,19,24,2,6,0,1,0,1,2,1,0,0,6,0,0,0.25,6
김선섭,1973-01-16T00:00:00Z,1996,2000,3,84,55,13,7,1,0,0,2,1,4,3,1,19,3,4,0.127,1
장정석,1973-04-12T00:00:00Z,1996,2003,8,580,818,105,176,32,2,7,75,19,11,70,9,181,6,4,0.215,4
석수철,1973-04-25T00:00:00Z,1996,1996,1,114,289,32,77,16,1,3,32,4,2,17,8,45,7,12,0.266,4
강준기,1973-04-28T00:00:00Z,1996,1996,1,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0.25,4
임수민,1973-05-31T00:00:00Z,1996,2006,9,790,2013,236,485,105,4,54,258,11,18,186,19,409,54,39,0.241,5
김대익,1973-06-03T00:00:00Z,1996,2007,12,1193,3372,481,910,177,24,45,332,102,67,315,30,573,46,24,0.27,6
홍원기,1973-06-05T00:00:00Z,1996,2007,12,1043,2308,261,566,98,6,48,284,11,12,248,42,468,55,93,0.245,6
최기문,1973-06-10T00:00:00Z,1996,2009,13,1075,2595,307,681,124,17,35,270,46,30,216,47,322,42,57,0.262,6
설종진,1973-06-16T00:00:00Z,1996,1996,1,9,7,1,1,0,0,0,1,1,0,1,0,1,0,0,0.143,6
